equipment_id,equipment_type,mine_id,engine_hours,vibration_rms,oil_temp_C,hydraulic_pressure_bar,tyre_pressure_psi,last_service_days,rul_days,label
HEMM001,Shovel,Kenduadih,5730,4.14,105.2,191.0,93.7,146,1,3
HEMM002,Dozer,Rajmahal OC,1866,2.78,91.7,183.7,91.2,63,82,0
HEMM003,240T Dumper,Jayant OC,7666,2.17,88.5,229.3,64.7,159,1,3
HEMM004,Shovel,Moonidih,7847,5.61,100.6,188.7,99.9,90,26,2
HEMM005,240T Dumper,Adriyala Shaft,4993,3.03,79.7,219.6,115.7,18,118,0
HEMM006,Shovel,Jhanjra UG,6139,3.64,78.6,191.6,81.3,82,49,1
HEMM007,Dozer,Gevra OC,5403,2.36,115.0,178.4,103.3,83,39,1
HEMM008,240T Dumper,Gevra OC,330,3.62,96.9,191.7,118.1,2,144,0
HEMM009,240T Dumper,Jhanjra UG,3584,0.76,82.0,170.1,101.0,21,140,0
HEMM010,Dozer,Rajmahal OC,453,0.81,111.5,165.5,92.8,97,62,0
HEMM011,240T Dumper,Gevra OC,3368,3.41,113.0,198.7,98.2,119,4,3
HEMM012,Dozer,Adriyala Shaft,6287,3.07,102.1,203.0,112.4,24,101,0
HEMM013,Dozer,Bhatdih,6822,2.32,79.3,171.5,100.6,72,44,1
HEMM014,Dozer,Adriyala Shaft,258,2.58,99.2,252.5,75.9,146,11,2
HEMM015,Shovel,Bhubaneswari OC,1596,0.83,83.0,158.4,90.9,145,14,2
HEMM016,120T Dumper,Churcha RO,1243,3.93,88.8,238.9,102.5,71,83,0
HEMM017,Shovel,Moonidih,5876,1.77,71.4,173.8,71.8,1,159,0
HEMM018,Dozer,Moonidih,7194,1.85,104.8,188.0,112.0,175,1,3
HEMM019,Dragline,Bhubaneswari OC,4259,1.2,109.3,215.9,92.9,72,81,0
HEMM020,Shovel,Moonidih,3410,1.77,92.1,211.7,96.9,58,88,0
HEMM021,240T Dumper,Jayant OC,809,3.19,85.1,194.8,104.7,161,1,3
HEMM022,Dragline,Kenduadih,6730,3.28,80.5,180.7,100.0,62,69,0
HEMM023,Drill Rig,Moonidih,6930,1.43,113.1,248.6,91.0,159,1,3
HEMM024,240T Dumper,Kenduadih,1222,2.7,94.6,205.4,112.7,178,1,3
HEMM025,240T Dumper,Jhanjra UG,707,3.63,82.1,186.6,120.0,17,138,0
HEMM026,Shovel,Bhatdih,7162,2.74,85.0,209.1,100.1,154,1,3
HEMM027,240T Dumper,Kenduadih,286,1.22,94.8,162.4,109.1,26,127,0
HEMM028,Dozer,Bhubaneswari OC,4437,4.89,85.4,217.3,116.1,18,120,0
HEMM029,240T Dumper,Adriyala Shaft,7608,0.97,80.5,198.8,115.7,159,1,3
HEMM030,Dozer,Moonidih,1245,2.81,83.9,229.7,124.3,80,65,0
HEMM031,120T Dumper,Rajmahal OC,6552,3.32,103.4,180.2,92.5,3,111,0
HEMM032,120T Dumper,Moonidih,2144,2.31,61.5,197.5,109.9,51,97,0
HEMM033,Dozer,Adriyala Shaft,6632,3.21,94.0,154.5,103.5,120,1,3
HEMM034,Drill Rig,Kenduadih,2949,1.87,78.4,179.2,108.6,11,154,0
HEMM035,Dragline,Adriyala Shaft,7736,3.35,90.2,205.2,120.8,62,41,1
HEMM036,240T Dumper,Jayant OC,1881,2.75,67.3,232.9,102.1,92,57,1
HEMM037,120T Dumper,Rajmahal OC,1143,3.31,102.6,155.1,75.7,93,51,1
HEMM038,120T Dumper,Bhatdih,1626,2.58,92.3,222.9,113.3,63,103,0
HEMM039,240T Dumper,Adriyala Shaft,376,2.92,100.4,245.5,116.8,36,104,0
HEMM040,Dozer,Gevra OC,7868,3.96,94.1,232.1,90.1,44,80,0
HEMM041,Drill Rig,Kenduadih,7422,0.77,99.6,245.7,121.0,34,106,0
HEMM042,Dozer,Gevra OC,2804,1.75,56.6,151.8,100.2,158,1,3
HEMM043,Dozer,Adriyala Shaft,7199,0.43,84.1,195.3,104.4,72,82,0
HEMM044,Dozer,Bhubaneswari OC,1914,0.82,86.3,148.0,105.3,43,105,0
HEMM045,Shovel,Jayant OC,6354,3.98,73.2,174.5,112.9,46,77,0
HEMM046,Shovel,Bhubaneswari OC,6062,3.54,106.3,190.7,81.3,150,1,3
HEMM047,120T Dumper,Moonidih,1897,2.65,99.9,219.7,88.6,79,56,1
HEMM048,120T Dumper,Gevra OC,2285,3.03,82.3,195.0,114.1,91,57,1
HEMM049,Dragline,Kenduadih,537,0.87,94.5,169.9,107.5,105,46,1
HEMM050,Dragline,Jayant OC,402,3.54,94.7,219.8,91.4,22,122,0
HEMM051,120T Dumper,Rajmahal OC,4400,2.04,88.3,196.4,110.6,31,116,0
HEMM052,120T Dumper,Gevra OC,1810,2.65,84.8,179.7,99.2,71,60,1
HEMM053,Dragline,Kenduadih,1329,4.5,89.7,195.8,67.0,3,143,0
HEMM054,120T Dumper,Jayant OC,7948,1.53,73.6,222.1,90.5,132,1,3
HEMM055,Drill Rig,Jayant OC,2064,2.79,114.7,164.3,102.9,142,1,3
HEMM056,120T Dumper,Gevra OC,6687,0.58,114.9,229.8,67.7,107,35,1
HEMM057,Shovel,Bhubaneswari OC,3886,2.68,87.0,239.2,123.4,79,61,0
HEMM058,Dozer,Gevra OC,2983,2.44,92.4,231.2,100.4,177,1,3
HEMM059,Dozer,Bhatdih,2871,1.17,79.9,216.1,101.7,85,51,1
HEMM060,120T Dumper,Kenduadih,7302,1.61,78.6,218.6,105.2,99,31,1
HEMM061,240T Dumper,Bhubaneswari OC,1089,1.04,123.7,183.6,90.2,44,122,0
HEMM062,120T Dumper,Kenduadih,4202,3.43,99.9,203.4,112.6,53,75,0
HEMM063,120T Dumper,Bhatdih,5603,1.19,87.5,197.0,101.6,84,63,0
HEMM064,120T Dumper,Churcha RO,1257,1.55,73.3,192.2,133.9,53,119,0
HEMM065,Shovel,Adriyala Shaft,2737,0.78,99.7,159.7,103.2,80,62,0
