mine_id,timestamp,CH4_pct,CO_ppm,C2H4_ppm,C2H6_ppm,CO2_pct,O2_pct,temp_C,humidity_pct,dust_mgm3,label
Churcha RO,2026-09-09T19:01:00,0.419,8.5,0.58,1.44,0.306,19.55,31.6,70.4,2.05,2
Rajmahal OC,2026-09-07T10:17:00,0.32,9.8,0.91,0.53,0.38,19.73,24.1,83.1,1.56,2
Jhanjra UG,2026-09-07T02:35:00,0.355,14.6,0.73,1.03,0.342,20.86,27.9,68.0,1.1,1
Bhatdih,2026-09-02T07:55:00,0.32,10.7,0.13,1.14,0.3,20.46,26.8,66.1,2.15,1
Churcha RO,2026-09-09T23:15:00,0.18,11.0,0.59,0.59,0.309,21,26.2,50.5,2.52,1
Jhanjra UG,2026-09-01T10:25:00,0.392,4.9,0.56,1.34,0.331,20.58,31.5,65.4,1.23,1
Bhatdih,2026-09-09T17:16:00,0.603,11.6,0.06,0.54,0.427,21,32.3,55.5,1.77,1
Kenduadih,2026-09-03T20:10:00,0.364,3.2,0.67,0,0.662,20.88,31.6,65.7,0,1
Jayant OC,2026-09-05T20:21:00,0.178,5.8,0.22,0.55,0.399,21,33.6,59.7,2.75,0
Churcha RO,2026-09-02T20:19:00,0.506,7.4,0.67,1.44,0.403,20.25,17.5,65.9,0.55,1
Rajmahal OC,2026-09-05T07:03:00,0.233,6.5,0.53,0.3,0.422,19.9,31.5,65.0,3.33,1
Adriyala Shaft,2026-09-08T17:10:00,0.342,15.0,0,1.2,0.459,21,30.8,65.5,1.08,1
Bhatdih,2026-09-09T14:07:00,0.098,7.1,1.17,0.6,0.405,19.74,27.1,55.2,1.13,1
Adriyala Shaft,2026-09-01T10:04:00,0.172,8.6,0.77,0.55,0.362,20.54,29.5,60.1,1.08,1
Rajmahal OC,2026-09-02T21:27:00,0.317,13.9,0.54,1.01,0.52,20.24,21.1,68.0,1.68,1
Gevra OC,2026-09-02T07:12:00,0.209,4.0,0.66,0.72,0.252,20.73,27.8,57.5,1.92,1
Adriyala Shaft,2026-09-09T00:05:00,0.22,7.5,0.64,1.21,0.428,20.36,30.8,46.6,2.45,1
Adriyala Shaft,2026-09-08T09:27:00,0.426,10.3,0.8,0.89,0.499,20.96,29.4,72.8,1.44,1
Rajmahal OC,2026-09-09T05:03:00,0.209,4.1,0.58,1.06,0.552,20.79,31.2,68.2,2.37,1
Rajmahal OC,2026-09-01T19:05:00,0.353,10.2,0.59,0.3,0.316,20.52,30.0,70.8,1.12,1
Jayant OC,2026-09-02T00:29:00,0.194,3.7,0.41,1.08,0.358,20.12,27.8,70.3,0.96,1
Kenduadih,2026-09-06T09:10:00,0.169,21.3,0.49,1.05,0.431,20.39,37.3,80.1,0.38,1
Bhubaneswari OC,2026-09-03T08:07:00,0.417,2.6,0,0.04,0.393,20.45,29.4,57.3,0.52,1
Churcha RO,2026-09-05T01:05:00,0,7.9,0.33,0.75,0.467,20.08,33.1,72.1,0.74,1
Jayant OC,2026-09-03T17:02:00,0.322,6.9,0.42,0.98,0.459,20.46,22.2,70.6,1.14,1
Gevra OC,2026-09-04T21:15:00,0.273,6.0,0.42,1.04,0.462,21,23.8,78.7,0.19,0
Churcha RO,2026-09-07T00:11:00,0.183,12.1,1.07,0.04,0.399,19.36,28.2,70.9,1.65,2
Gevra OC,2026-09-01T15:14:00,0.211,8.8,0.2,0.49,0.257,20.5,30.4,62.0,0.75,1
Adriyala Shaft,2026-09-05T11:41:00,0.368,3.9,0.32,1.47,0.403,20.61,29.2,73.4,2.87,1
Rajmahal OC,2026-09-05T01:06:00,0.005,0,1.0,0,0.347,21,35.0,76.1,3.35,1
Kenduadih,2026-09-09T21:46:00,0.078,10.6,0.34,1.3,0.302,20.46,25.3,61.5,1.49,1
Adriyala Shaft,2026-09-05T21:26:00,0.292,7.0,0.59,0.62,0.323,20.12,35.1,63.4,0.84,1
Gevra OC,2026-09-01T09:18:00,0.197,9.9,0.72,1.1,0.54,20.22,32.5,57.1,1.18,1
Adriyala Shaft,2026-09-03T21:05:00,0.479,3.2,0.67,0.55,0.308,20.18,29.0,43.8,1.79,1
Bhatdih,2026-09-08T19:54:00,0.089,7.5,0.22,1.44,0.401,19.75,28.4,71.6,2.09,1
Churcha RO,2026-09-02T13:14:00,0.317,0,0.67,0.23,0.327,20.12,30.7,74.2,2.48,1
Jhanjra UG,2026-09-06T14:39:00,0.377,2.2,0.13,0.91,0.444,20.37,31.0,73.3,0.5,1
Rajmahal OC,2026-09-05T16:31:00,0.263,0.2,0.79,0.58,0.42,20.85,24.7,65.2,0,1
Adriyala Shaft,2026-09-02T13:26:00,0.291,9.6,0.45,1.11,0.347,21,29.9,70.5,1.07,1
Gevra OC,2026-09-07T15:00:00,0.08,4.0,0.42,0.91,0.501,21,25.0,58.4,0.01,0
Gevra OC,2026-09-08T00:24:00,0.255,11.8,0.94,0.32,0.242,20.31,30.6,44.7,0.86,1
Gevra OC,2026-09-01T02:41:00,0.309,4.5,0.03,0.68,0.211,21,22.6,43.7,1.13,0
Jayant OC,2026-09-05T02:30:00,0.41,11.4,0.78,0.92,0.421,20.93,28.3,55.3,1.52,1
Moonidih,2026-09-04T06:53:00,0.017,8.0,0.4,1.07,0.379,21,32.2,67.4,1.55,0
Moonidih,2026-09-02T05:19:00,0.22,6.0,0.35,0.83,0.506,20.32,27.8,74.6,0,1
